time,"V(1,0)","P(3,0)","V(3,0)","V(5,0)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,2.153245e-05,5.334060e-03,1.053283e-05,1.781232e-05
5.000000e-13,3.165260e-05,1.785449e-02,2.121234e-05,3.467962e-05
7.500000e-13,4.588216e-05,3.964089e-02,3.477911e-05,5.518893e-05
1.000000e-12,5.583818e-05,7.052403e-02,4.664290e-05,7.170643e-05
1.250000e-12,5.978130e-05,1.084539e-01,5.457009e-05,8.131991e-05
1.500000e-12,5.837338e-05,1.503828e-01,5.782837e-05,8.395573e-05
1.750000e-12,5.378001e-05,1.932335e-01,5.701634e-05,8.157142e-05
2.000000e-12,4.852569e-05,2.346434e-01,5.356465e-05,7.691861e-05
2.250000e-12,4.458115e-05,2.733379e-01,4.915103e-05,7.246220e-05
2.500000e-12,4.291440e-05,3.091327e-01,4.521256e-05,6.976455e-05
2.750000e-12,4.350539e-05,3.426671e-01,4.265773e-05,6.937053e-05
3.000000e-12,4.567061e-05,3.750118e-01,4.179624e-05,7.104397e-05
3.250000e-12,4.849367e-05,4.072868e-01,4.244168e-05,7.414664e-05
3.500000e-12,5.119145e-05,4.403834e-01,4.411003e-05,7.798622e-05
3.750000e-12,5.332125e-05,4.748298e-01,4.623434e-05,8.204052e-05
4.000000e-12,5.481541e-05,5.107897e-01,4.833479e-05,8.604393e-05
4.250000e-12,5.588851e-05,5.481548e-01,5.011314e-05,8.997228e-05
4.500000e-12,5.688794e-05,5.866755e-01,5.147034e-05,9.397841e-05
4.750000e-12,5.815404e-05,6.260863e-01,5.246710e-05,9.832275e-05
5.000000e-12,5.993163e-05,6.661939e-01,5.325728e-05,1.033244e-04
5.250000e-12,4.081336e-05,7.015866e-01,4.348833e-05,9.152986e-05
5.500000e-12,3.176895e-05,7.301105e-01,3.302848e-05,7.915010e-05
5.750000e-12,1.635368e-05,7.491626e-01,1.884616e-05,6.008734e-05
6.000000e-12,2.577135e-06,7.582085e-01,5.322101e-06,4.097067e-05
6.250000e-12,-7.208561e-06,7.585921e-01,-5.196718e-06,2.491971e-05
