time,"V(2)","V(22)","V(222)","V(2222)","V(R169)","V(R170)","V(R171)","V(R172)","V(R173)","V(R174)","V(R175)","V(R176)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,1.188295e-06,1.188296e-06,1.188296e-06,1.188296e-06,1.503984e-07,1.503984e-07,1.503984e-07,1.503984e-07,1.503984e-07,1.503984e-07,1.503984e-07,1.503984e-07
5.000000e-13,2.490050e-06,2.490057e-06,2.490057e-06,2.490057e-06,4.874692e-07,4.874692e-07,4.874692e-07,4.874692e-07,4.874692e-07,4.874692e-07,4.874692e-07,4.874692e-07
7.500000e-13,4.052945e-06,4.052970e-06,4.052970e-06,4.052970e-06,1.026867e-06,1.026867e-06,1.026867e-06,1.026867e-06,1.026867e-06,1.026867e-06,1.026867e-06,1.026867e-06
1.000000e-12,5.997185e-06,5.997248e-06,5.997248e-06,5.997248e-06,1.790000e-06,1.790000e-06,1.790000e-06,1.790000e-06,1.790000e-06,1.790000e-06,1.790000e-06,1.790000e-06
1.250000e-12,8.395552e-06,8.395689e-06,8.395689e-06,8.395689e-06,2.805054e-06,2.805054e-06,2.805054e-06,2.805054e-06,2.805054e-06,2.805054e-06,2.805054e-06,2.805054e-06
1.500000e-12,1.126850e-05,1.126876e-05,1.126876e-05,1.126876e-05,4.099967e-06,4.099967e-06,4.099967e-06,4.099967e-06,4.099967e-06,4.099967e-06,4.099967e-06,4.099967e-06
1.750000e-12,1.458711e-05,1.458757e-05,1.458757e-05,1.458757e-05,5.694464e-06,5.694464e-06,5.694464e-06,5.694464e-06,5.694464e-06,5.694464e-06,5.694464e-06,5.694464e-06
2.000000e-12,1.828049e-05,1.828125e-05,1.828125e-05,1.828125e-05,7.593924e-06,7.593924e-06,7.593924e-06,7.593924e-06,7.593924e-06,7.593924e-06,7.593924e-06,7.593924e-06
2.250000e-12,2.224561e-05,2.224678e-05,2.224678e-05,2.224678e-05,9.785979e-06,9.785979e-06,9.785979e-06,9.785979e-06,9.785979e-06,9.785979e-06,9.785979e-06,9.785979e-06
2.500000e-12,2.635843e-05,2.636017e-05,2.636017e-05,2.636017e-05,1.223988e-05,1.223988e-05,1.223988e-05,1.223988e-05,1.223988e-05,1.223988e-05,1.223988e-05,1.223988e-05
2.750000e-12,3.048522e-05,3.048769e-05,3.048769e-05,3.048769e-05,1.490825e-05,1.490825e-05,1.490825e-05,1.490825e-05,1.490825e-05,1.490825e-05,1.490825e-05,1.490825e-05
3.000000e-12,3.449334e-05,3.449673e-05,3.449673e-05,3.449673e-05,1.773064e-05,1.773064e-05,1.773064e-05,1.773064e-05,1.773064e-05,1.773064e-05,1.773064e-05,1.773064e-05
3.250000e-12,3.826084e-05,3.826535e-05,3.826535e-05,3.826535e-05,2.063833e-05,2.063833e-05,2.063833e-05,2.063833e-05,2.063833e-05,2.063833e-05,2.063833e-05,2.063833e-05
3.500000e-12,4.168438e-05,4.169019e-05,4.169019e-05,4.169019e-05,2.355954e-05,2.355954e-05,2.355954e-05,2.355954e-05,2.355954e-05,2.355954e-05,2.355954e-05,2.355954e-05
3.750000e-12,4.468503e-05,4.469232e-05,4.469232e-05,4.469232e-05,2.642471e-05,2.642471e-05,2.642471e-05,2.642471e-05,2.642471e-05,2.642471e-05,2.642471e-05,2.642471e-05
4.000000e-12,4.721193e-05,4.722084e-05,4.722084e-05,4.722084e-05,2.917114e-05,2.917114e-05,2.917114e-05,2.917114e-05,2.917114e-05,2.917114e-05,2.917114e-05,2.917114e-05
4.250000e-12,4.924363e-05,4.925425e-05,4.925425e-05,4.925425e-05,3.174681e-05,3.174681e-05,3.174681e-05,3.174681e-05,3.174681e-05,3.174681e-05,3.174681e-05,3.174681e-05
4.500000e-12,5.078728e-05,5.079964e-05,5.079964e-05,5.079964e-05,3.411293e-05,3.411293e-05,3.411293e-05,3.411293e-05,3.411293e-05,3.411293e-05,3.411293e-05,3.411293e-05
4.750000e-12,5.187599e-05,5.189002e-05,5.189002e-05,5.189002e-05,3.624533e-05,3.624533e-05,3.624533e-05,3.624533e-05,3.624533e-05,3.624533e-05,3.624533e-05,3.624533e-05
5.000000e-12,5.256456e-05,5.258013e-05,5.258013e-05,5.258013e-05,3.813456e-05,3.813456e-05,3.813456e-05,3.813456e-05,3.813456e-05,3.813456e-05,3.813456e-05,3.813456e-05
5.250000e-12,5.173597e-05,5.175284e-05,5.175284e-05,5.175284e-05,3.963454e-05,3.963454e-05,3.963454e-05,3.963454e-05,3.963454e-05,3.963454e-05,3.963454e-05,3.963454e-05
5.500000e-12,5.054648e-05,5.056435e-05,5.056435e-05,5.056435e-05,4.072513e-05,4.072513e-05,4.072513e-05,4.072513e-05,4.072513e-05,4.072513e-05,4.072513e-05,4.072513e-05
5.750000e-12,4.893346e-05,4.895190e-05,4.895190e-05,4.895190e-05,4.141607e-05,4.141607e-05,4.141607e-05,4.141607e-05,4.141607e-05,4.141607e-05,4.141607e-05,4.141607e-05
6.000000e-12,4.685894e-05,4.687746e-05,4.687746e-05,4.687746e-05,4.171750e-05,4.171750e-05,4.171750e-05,4.171750e-05,4.171750e-05,4.171750e-05,4.171750e-05,4.171750e-05
6.250000e-12,4.432375e-05,4.434182e-05,4.434182e-05,4.434182e-05,4.163582e-05,4.163582e-05,4.163582e-05,4.163582e-05,4.163582e-05,4.163582e-05,4.163582e-05,4.163582e-05
6.500000e-12,4.136769e-05,4.138470e-05,4.138470e-05,4.138470e-05,4.117762e-05,4.117762e-05,4.117762e-05,4.117762e-05,4.117762e-05,4.117762e-05,4.117762e-05,4.117762e-05
6.750000e-12,3.806316e-05,3.807850e-05,3.807850e-05,3.807850e-05,4.035488e-05,4.035488e-05,4.035488e-05,4.035488e-05,4.035488e-05,4.035488e-05,4.035488e-05,4.035488e-05
7.000000e-12,3.450616e-05,3.451921e-05,3.451921e-05,3.451921e-05,3.918892e-05,3.918892e-05,3.918892e-05,3.918892e-05,3.918892e-05,3.918892e-05,3.918892e-05,3.918892e-05
7.250000e-12,3.080640e-05,3.081656e-05,3.081656e-05,3.081656e-05,3.771230e-05,3.771230e-05,3.771230e-05,3.771230e-05,3.771230e-05,3.771230e-05,3.771230e-05,3.771230e-05
7.500000e-12,2.707794e-05,2.708466e-05,2.708466e-05,2.708466e-05,3.596863e-05,3.596863e-05,3.596863e-05,3.596863e-05,3.596863e-05,3.596863e-05,3.596863e-05,3.596863e-05
8.000000e-12,1.996444e-05,1.996290e-05,1.996290e-05,1.996290e-05,3.189824e-05,3.189824e-05,3.189824e-05,3.189824e-05,3.189824e-05,3.189824e-05,3.189824e-05,3.189824e-05
8.250000e-12,1.676234e-05,1.675618e-05,1.675618e-05,1.675618e-05,2.969302e-05,2.969302e-05,2.969302e-05,2.969302e-05,2.969302e-05,2.969302e-05,2.969302e-05,2.969302e-05
8.500000e-12,1.388911e-05,1.387816e-05,1.387816e-05,1.387816e-05,2.745662e-05,2.745662e-05,2.745662e-05,2.745662e-05,2.745662e-05,2.745662e-05,2.745662e-05,2.745662e-05
8.750000e-12,1.138871e-05,1.137294e-05,1.137294e-05,1.137294e-05,2.524630e-05,2.524630e-05,2.524630e-05,2.524630e-05,2.524630e-05,2.524630e-05,2.524630e-05,2.524630e-05
9.000000e-12,9.284269e-06,9.263784e-06,9.263784e-06,9.263784e-06,2.311236e-05,2.311236e-05,2.311236e-05,2.311236e-05,2.311236e-05,2.311236e-05,2.311236e-05,2.311236e-05
9.250000e-12,7.579206e-06,7.554268e-06,7.554268e-06,7.554268e-06,2.109597e-05,2.109597e-05,2.109597e-05,2.109597e-05,2.109597e-05,2.109597e-05,2.109597e-05,2.109597e-05
9.500000e-12,6.259267e-06,6.230282e-06,6.230282e-06,6.230282e-06,1.922798e-05,1.922798e-05,1.922798e-05,1.922798e-05,1.922798e-05,1.922798e-05,1.922798e-05,1.922798e-05
9.750000e-12,5.295297e-06,5.262810e-06,5.262810e-06,5.262810e-06,1.752842e-05,1.752842e-05,1.752842e-05,1.752842e-05,1.752842e-05,1.752842e-05,1.752842e-05,1.752842e-05
1.000000e-11,4.646474e-06,4.611158e-06,4.611158e-06,4.611158e-06,1.600685e-05,1.600685e-05,1.600685e-05,1.600685e-05,1.600685e-05,1.600685e-05,1.600685e-05,1.600685e-05
1.025000e-11,4.263785e-06,4.226420e-06,4.226420e-06,4.226420e-06,1.466332e-05,1.466332e-05,1.466332e-05,1.466332e-05,1.466332e-05,1.466332e-05,1.466332e-05,1.466332e-05
1.050000e-11,4.093497e-06,4.054948e-06,4.054948e-06,4.054948e-06,1.348982e-05,1.348982e-05,1.348982e-05,1.348982e-05,1.348982e-05,1.348982e-05,1.348982e-05,1.348982e-05
1.075000e-11,4.080466e-06,4.041656e-06,4.041656e-06,4.041656e-06,1.247207e-05,1.247207e-05,1.247207e-05,1.247207e-05,1.247207e-05,1.247207e-05,1.247207e-05,1.247207e-05
1.100000e-11,4.171117e-06,4.132993e-06,4.132993e-06,4.132993e-06,1.159138e-05,1.159138e-05,1.159138e-05,1.159138e-05,1.159138e-05,1.159138e-05,1.159138e-05,1.159138e-05
1.125000e-11,4.315964e-06,4.279466e-06,4.279466e-06,4.279466e-06,1.082661e-05,1.082661e-05,1.082661e-05,1.082661e-05,1.082661e-05,1.082661e-05,1.082661e-05,1.082661e-05
1.150000e-11,4.471606e-06,4.437635e-06,4.437635e-06,4.437635e-06,1.015589e-05,1.015589e-05,1.015589e-05,1.015589e-05,1.015589e-05,1.015589e-05,1.015589e-05,1.015589e-05
1.175000e-11,4.602146e-06,4.571530e-06,4.571530e-06,4.571530e-06,9.558116e-06,9.558116e-06,9.558116e-06,9.558116e-06,9.558116e-06,9.558116e-06,9.558116e-06,9.558116e-06
