time,"V(1200,0)","V(2200,0)","V(2201,0)","V(2202,0)","V(2203,0)","V(3200,0)","V(3201,0)","V(3202,0)","V(3203,0)","V(4000,0)","V(4001,0)","V(4002,0)","V(4003,0)","V(1002,0)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,4.327822e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-13,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,1.033698e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e-13,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,1.809684e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-12,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,2.621350e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e-12,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,3.327919e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e-12,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,3.841352e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e-12,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,4.132934e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-12,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,4.224291e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e-12,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,4.171915e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-12,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,4.047515e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e-12,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,3.918132e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e-12,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,3.831319e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e-12,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,3.809006e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.500000e-12,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,3.850173e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e-12,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,3.939375e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.000000e-12,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,4.056795e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.250000e-12,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,4.186186e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.500000e-12,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,4.318883e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.750000e-12,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,4.454034e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-12,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,4.596454e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.250000e-12,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,4.321081e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.311487e-06
5.500000e-12,3.869362e-05,3.869362e-05,4.675736e-05,3.869362e-05,3.869362e-05,3.869362e-05,3.869362e-05,3.869362e-05,3.869362e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.027100e-05
5.750000e-12,3.201803e-05,3.201803e-05,4.570692e-05,3.201803e-05,3.201803e-05,3.201803e-05,3.201803e-05,3.201803e-05,3.201803e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.792808e-05
6.000000e-12,2.421285e-05,2.421285e-05,4.493727e-05,2.421285e-05,2.421285e-05,2.421285e-05,2.421285e-05,2.421285e-05,2.421285e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.587849e-05
6.250000e-12,1.641351e-05,2.447725e-05,4.392584e-05,1.641351e-05,1.641351e-05,1.641351e-05,1.641351e-05,1.641351e-05,1.641351e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.271983e-05
6.500000e-12,9.450580e-06,2.315140e-05,4.196714e-05,9.450580e-06,9.450580e-06,9.450580e-06,9.450580e-06,9.450580e-06,9.450580e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.759416e-05
6.750000e-12,3.848329e-06,2.460637e-05,3.915899e-05,3.848329e-06,3.848329e-06,3.848329e-06,3.848329e-06,3.848329e-06,3.848329e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.024939e-05
7.000000e-12,-1.311390e-07,2.742917e-05,3.598819e-05,-1.311390e-07,-1.311390e-07,-1.311390e-07,-1.311390e-07,-1.311390e-07,7.932602e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.094007e-05
7.250000e-12,-2.473557e-06,3.007968e-05,3.296482e-05,5.590184e-06,-2.473557e-06,-2.473557e-06,-2.473557e-06,-2.473557e-06,1.122845e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.026185e-05
7.500000e-12,-3.389725e-06,3.191650e-05,3.045624e-05,1.031168e-05,4.674016e-06,-3.389725e-06,-3.389725e-06,-3.389725e-06,1.736761e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.894598e-05
8.000000e-12,-2.498512e-06,3.283382e-05,2.743958e-05,2.504649e-05,1.825427e-05,-2.498512e-06,-2.498512e-06,-2.498512e-06,3.002851e-05,1.028867e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.684254e-05
8.250000e-12,-1.529684e-06,3.219595e-05,2.674410e-05,3.099074e-05,2.601165e-05,-1.529684e-06,-1.529684e-06,6.534058e-06,3.373662e-05,1.796434e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.668644e-05
8.500000e-12,-6.397271e-07,3.114002e-05,2.635475e-05,3.462090e-05,3.187682e-05,-6.397271e-07,7.424014e-06,1.305998e-05,3.537728e-05,2.593497e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.713823e-05
8.750000e-12,1.173032e-08,2.990145e-05,2.613511e-05,3.602685e-05,3.527039e-05,1.173032e-08,1.371139e-05,2.076185e-05,3.531604e-05,3.279211e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.801190e-05
9.000000e-12,3.848121e-07,2.866705e-05,2.602645e-05,3.569254e-05,3.640156e-05,3.848121e-07,2.113502e-05,2.792325e-05,3.410788e-05,3.767398e-05,0.000000e+00,4.316873e-06,0.000000e+00,3.909221e-05
9.250000e-12,5.200400e-07,2.756911e-05,2.603408e-05,3.425120e-05,3.583320e-05,8.583781e-06,2.805909e-05,3.303632e-05,3.232488e-05,4.032885e-05,0.000000e+00,1.028867e-05,0.000000e+00,4.021548e-05
9.500000e-12,4.937977e-07,2.669663e-05,2.619086e-05,3.230896e-05,3.423279e-05,1.419369e-05,3.301150e-05,3.575725e-05,3.042913e-05,4.101506e-05,0.000000e+00,1.796434e-05,4.316573e-06,4.130593e-05
9.750000e-12,3.832947e-07,2.610659e-05,2.652194e-05,3.032812e-05,3.220645e-05,2.113448e-05,3.564886e-05,3.641007e-05,2.871932e-05,4.033272e-05,0.000000e+00,2.593497e-05,1.029246e-05,4.237079e-05
1.000000e-11,2.472824e-07,2.582807e-05,2.702604e-05,2.858945e-05,3.019808e-05,2.778846e-05,3.627629e-05,3.557328e-05,2.734603e-05,3.901537e-05,0.000000e+00,3.279211e-05,1.798528e-05,4.347107e-05
1.025000e-11,1.212420e-07,2.586154e-05,2.767665e-05,2.722154e-05,2.846602e-05,3.264202e-05,3.544881e-05,3.387204e-05,2.636119e-05,3.772574e-05,0.000000e+00,3.767398e-05,2.599670e-05,4.037586e-05
1.050000e-11,2.158938e-08,2.617920e-05,2.037271e-05,2.625857e-05,2.712080e-05,3.529022e-05,3.377264e-05,3.185196e-05,2.576604e-05,3.691044e-05,0.000000e+00,4.032885e-05,3.292520e-05,3.553843e-05
1.075000e-11,-4.711220e-08,2.673098e-05,1.528351e-05,2.569099e-05,2.618561e-05,3.598361e-05,3.178192e-05,2.990438e-05,2.553976e-05,3.674809e-05,0.000000e+00,4.101506e-05,3.790695e-05,2.861786e-05
1.100000e-11,-8.608911e-08,2.745617e-05,7.070245e-06,2.549279e-05,2.564563e-05,3.524080e-05,2.986264e-05,2.825292e-05,2.564860e-05,3.718844e-05,0.000000e+00,4.033272e-05,4.067758e-05,2.070508e-05
1.125000e-11,-9.901575e-08,2.023384e-05,-1.225724e-06,2.562797e-05,2.547261e-05,3.364873e-05,2.823631e-05,2.698968e-05,2.604548e-05,3.804800e-05,0.000000e+00,3.901537e-05,4.147570e-05,1.299362e-05
1.150000e-11,-9.095027e-08,1.524534e-05,-8.387864e-06,2.604791e-05,2.562913e-05,3.173288e-05,2.699380e-05,2.612907e-05,2.667033e-05,3.911594e-05,0.000000e+00,3.772574e-05,4.088154e-05,6.349666e-06
1.175000e-11,-6.823516e-08,8.451249e-06,-1.386591e-05,2.669084e-05,2.606510e-05,2.987488e-05,2.614823e-05,2.565124e-05,2.745640e-05,4.023261e-05,0.000000e+00,3.691044e-05,3.961590e-05,1.292730e-06
1.200000e-11,-3.821075e-08,1.440383e-06,-1.768576e-05,2.748838e-05,2.671749e-05,2.829281e-05,2.567854e-05,2.552368e-05,2.027807e-05,4.132381e-05,0.000000e+00,3.674809e-05,3.834027e-05,-1.968614e-06
1.225000e-11,-8.282821e-09,-4.238501e-06,-2.022385e-05,2.031409e-05,2.751750e-05,2.707487e-05,2.555193e-05,2.570565e-05,1.531342e-05,4.239512e-05,0.000000e+00,3.718844e-05,3.751124e-05,-3.515676e-06
1.250000e-11,1.542610e-08,-9.342562e-06,-2.191739e-05,1.534653e-05,2.033961e-05,2.623363e-05,2.572866e-05,2.614623e-05,8.522463e-06,4.350320e-05,0.000000e+00,3.804799e-05,3.732444e-05,-3.675535e-06
1.275000e-11,2.926596e-08,-1.249200e-05,-2.309068e-05,8.547500e-06,1.536454e-05,2.575077e-05,2.616009e-05,2.678513e-05,1.497116e-06,4.040650e-05,0.000000e+00,3.911593e-05,3.774765e-05,-2.928666e-06
