time,"V(4)","V(8)","V(12)","V(9)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,3.121939e-06,4.087316e-06,4.087316e-06,1.931873e-06
5.000000e-13,8.982294e-06,1.110149e-05,1.110149e-05,5.198583e-06
7.500000e-13,1.701620e-05,2.072857e-05,2.072857e-05,9.751721e-06
1.000000e-12,2.557599e-05,3.122086e-05,3.122086e-05,1.486543e-05
1.250000e-12,3.303735e-05,4.048994e-05,4.048994e-05,1.957619e-05
1.500000e-12,3.854676e-05,4.711110e-05,4.711110e-05,2.312606e-05
1.750000e-12,4.212458e-05,5.077524e-05,5.077524e-05,2.521015e-05
2.000000e-12,4.431219e-05,5.214502e-05,5.214502e-05,2.598673e-05
2.250000e-12,4.572998e-05,5.235338e-05,5.235338e-05,2.591664e-05
2.500000e-12,4.681422e-05,5.246178e-05,5.246178e-05,2.554173e-05
2.750000e-12,4.778833e-05,5.311226e-05,5.311226e-05,2.529881e-05
3.000000e-12,4.876304e-05,5.445155e-05,5.445155e-05,2.542218e-05
3.250000e-12,4.982700e-05,5.626820e-05,5.626820e-05,2.593976e-05
3.500000e-12,5.105910e-05,5.821623e-05,5.821623e-05,2.673395e-05
3.750000e-12,5.248387e-05,6.000751e-05,6.000751e-05,2.762652e-05
4.000000e-12,5.403545e-05,6.150942e-05,6.150942e-05,2.845282e-05
4.250000e-12,5.557654e-05,6.274565e-05,6.274565e-05,2.910673e-05
4.500000e-12,5.696722e-05,6.383752e-05,6.383752e-05,2.955409e-05
4.750000e-12,5.813970e-05,6.493193e-05,6.493193e-05,2.982284e-05
5.000000e-12,5.913334e-05,6.614917e-05,6.614917e-05,2.998131e-05
5.250000e-12,5.695148e-05,6.347491e-05,6.347491e-05,2.818217e-05
5.500000e-12,5.193039e-05,5.781989e-05,5.781989e-05,2.505137e-05
5.750000e-12,4.451144e-05,4.911480e-05,4.911480e-05,2.061986e-05
6.000000e-12,3.621828e-05,3.877519e-05,3.877519e-05,1.556452e-05
6.250000e-12,2.862964e-05,2.879266e-05,2.879266e-05,1.079950e-05
6.500000e-12,2.265336e-05,2.079736e-05,2.079736e-05,7.061356e-06
6.750000e-12,1.839453e-05,1.552650e-05,1.552650e-05,4.675975e-06
7.000000e-12,1.546139e-05,1.278875e-05,1.278875e-05,3.544755e-06
7.250000e-12,1.337233e-05,1.178150e-05,1.178150e-05,3.286715e-06
7.500000e-12,1.180197e-05,1.152917e-05,1.152917e-05,3.435097e-06
8.000000e-12,9.675209e-06,1.049860e-05,1.049860e-05,3.556472e-06
8.250000e-12,8.899578e-06,9.236247e-06,9.236247e-06,3.240848e-06
8.500000e-12,8.097286e-06,7.640264e-06,7.640264e-06,2.710104e-06
8.750000e-12,7.124291e-06,5.988351e-06,5.988351e-06,2.074185e-06
9.000000e-12,5.952238e-06,4.527410e-06,4.527410e-06,1.444897e-06
9.250000e-12,4.690596e-06,3.405571e-06,3.405571e-06,9.073842e-07
9.500000e-12,3.529277e-06,2.658422e-06,2.658422e-06,5.120116e-07
9.750000e-12,2.640120e-06,2.231985e-06,2.231985e-06,2.770250e-07
1.000000e-11,2.097351e-06,2.022191e-06,2.022191e-06,1.935340e-07
1.025000e-11,7.865246e-06,7.794339e-06,7.794339e-06,1.039591e-05
1.050000e-11,1.483694e-05,1.431565e-05,1.431565e-05,1.849601e-05
1.075000e-11,2.327377e-05,2.184048e-05,2.184048e-05,2.694442e-05
1.100000e-11,3.116022e-05,2.851745e-05,2.851745e-05,3.426750e-05
1.125000e-11,3.667658e-05,3.282087e-05,3.282087e-05,3.891792e-05
1.150000e-11,3.888734e-05,3.412390e-05,3.412390e-05,4.064642e-05
1.175000e-11,3.771065e-05,3.251864e-05,3.251864e-05,4.014076e-05
1.200000e-11,3.376713e-05,2.858387e-05,2.858387e-05,3.831692e-05
1.225000e-11,2.818143e-05,2.321564e-05,2.321564e-05,3.592526e-05
1.250000e-11,2.228183e-05,1.744977e-05,1.744977e-05,3.348662e-05
1.275000e-11,1.724296e-05,1.225094e-05,1.225094e-05,3.134870e-05
1.300000e-11,1.379680e-05,8.315941e-06,8.315941e-06,2.971941e-05
1.325000e-11,1.210813e-05,5.957663e-06,5.957663e-06,2.866267e-05
1.350000e-11,1.186231e-05,5.104308e-06,5.104308e-06,2.810435e-05
1.375000e-11,1.248263e-05,5.400618e-06,5.400618e-06,2.787982e-05
1.400000e-11,1.338891e-05,6.363262e-06,6.363262e-06,2.781152e-05
1.425000e-11,1.418367e-05,7.533951e-06,7.533951e-06,2.777918e-05
1.450000e-11,1.473991e-05,8.587520e-06,8.587520e-06,2.775088e-05
1.475000e-11,1.517364e-05,9.376815e-06,9.376815e-06,2.776810e-05
1.500000e-11,1.575801e-05,9.919978e-06,9.919978e-06,2.790191e-05
1.525000e-11,1.081669e-05,4.471526e-06,4.471526e-06,1.804115e-05
1.550000e-11,5.114942e-06,-2.070914e-06,-2.070914e-06,1.028148e-05
1.575000e-11,-2.141672e-06,-1.029694e-05,-1.029694e-05,1.884291e-06
1.600000e-11,-9.549688e-06,-1.865291e-05,-1.865291e-05,-5.835438e-06
1.625000e-11,-1.572913e-05,-2.573950e-05,-2.573950e-05,-1.132066e-05
1.650000e-11,-1.980069e-05,-3.076442e-05,-3.076442e-05,-1.418386e-05
1.675000e-11,-2.123830e-05,-3.333130e-05,-3.333130e-05,-1.490813e-05
1.700000e-11,-1.978959e-05,-3.331573e-05,-3.331573e-05,-1.420031e-05
