time,"I(RX1)","I(RX2)","I(RIN)","I(LQ2|XI0)","I(LQ2|XI1)","I(LQ2|XI2)","I(LQ2|XI3)","I(LQ2|XI4)","I(LQ2|XI8)","I(LOUT)"
0.000000e+00,1.515570e-23,-7.635428e-24,-2.407432e-08,8.647837e-06,8.502307e-06,8.263163e-06,7.880593e-06,7.287883e-06,1.860962e-06,2.369445e-07
2.000000e-13,-5.125988e-08,-1.639431e-22,-1.044635e-06,9.754507e-06,9.700263e-06,9.430789e-06,8.993785e-06,8.317023e-06,2.124265e-06,2.703957e-07
4.000000e-13,-7.937433e-08,-2.645688e-11,-2.091680e-06,1.177743e-05,1.186962e-05,1.154730e-05,1.101236e-05,1.018403e-05,2.603245e-06,3.307499e-07
6.000000e-13,-9.229064e-08,-1.657008e-10,-3.142854e-06,1.496715e-05,1.531260e-05,1.491263e-05,1.422410e-05,1.315710e-05,3.369696e-06,4.259113e-07
8.000000e-13,-1.014096e-07,-6.230965e-10,-4.205745e-06,1.960704e-05,2.037526e-05,1.987412e-05,1.896508e-05,1.755289e-05,4.513471e-06,5.639151e-07
1.000000e-12,-1.053789e-07,-1.791924e-09,-5.283512e-06,2.604236e-05,2.746577e-05,2.684742e-05,2.564398e-05,2.376485e-05,6.158787e-06,7.516084e-07
1.200000e-12,-1.008499e-07,-4.203365e-09,-5.391754e-06,3.474775e-05,3.699319e-05,3.625749e-05,3.469439e-05,3.223139e-05,8.477795e-06,9.886605e-07
1.400000e-12,-8.860612e-08,-8.060823e-09,-5.490038e-06,4.591401e-05,4.916942e-05,4.835444e-05,4.641194e-05,4.330514e-05,1.170380e-05,1.254408e-06
1.600000e-12,-7.362094e-08,-1.214639e-08,-5.579810e-06,5.941087e-05,6.367788e-05,6.287485e-05,6.063568e-05,5.697219e-05,1.614167e-05,1.489392e-06
1.800000e-12,-6.273436e-08,-1.298582e-08,-5.620427e-06,7.435950e-05,7.933097e-05,7.867929e-05,7.636974e-05,7.246675e-05,2.216379e-05,1.590222e-06
2.000000e-12,-6.077830e-08,-6.642163e-09,-5.575154e-06,8.901614e-05,9.408243e-05,9.372823e-05,9.168609e-05,8.807054e-05,3.016464e-05,1.448264e-06
2.200000e-12,-6.614243e-08,6.522225e-09,-5.431655e-06,1.011456e-04,1.055687e-04,1.056076e-04,1.041775e-04,1.014338e-04,4.042920e-05,1.018248e-06
2.400000e-12,-7.138514e-08,1.957117e-08,-5.211736e-06,1.087209e-04,1.118731e-04,1.123111e-04,1.117321e-04,1.103125e-04,5.287823e-05,3.518282e-07
2.600000e-12,-7.007059e-08,2.395427e-08,-4.961162e-06,1.105579e-04,1.121080e-04,1.128545e-04,1.131908e-04,1.132822e-04,6.674692e-05,-4.238296e-07
2.800000e-12,-6.313014e-08,1.692303e-08,-4.732633e-06,1.066403e-04,1.066338e-04,1.075265e-04,1.086551e-04,1.101370e-04,8.043597e-05,-1.152093e-06
3.000000e-12,-5.826547e-08,4.037253e-09,-4.569482e-06,9.806868e-05,9.688648e-05,9.773892e-05,9.939553e-05,1.018935e-04,9.180286e-05,-1.695794e-06
3.200000e-12,-6.226441e-08,-5.146351e-09,-4.492843e-06,8.666801e-05,8.488900e-05,8.554122e-05,8.740605e-05,9.041898e-05,9.882638e-05,-1.978339e-06
3.400000e-12,-7.457305e-08,-4.740318e-09,-4.498179e-06,7.442480e-05,7.266144e-05,7.301144e-05,7.479491e-05,7.784028e-05,1.002791e-04,-1.999419e-06
3.600000e-12,-8.879922e-08,3.251019e-09,-4.563487e-06,6.300723e-05,6.178738e-05,6.179624e-05,6.328925e-05,6.600104e-05,9.610193e-05,-1.816914e-06
3.800000e-12,-9.910542e-08,1.150556e-08,-4.662434e-06,5.353419e-05,5.325760e-05,5.293685e-05,5.401795e-05,5.617454e-05,8.735736e-05,-1.510736e-06
4.000000e-12,-1.042718e-07,1.305426e-08,-4.774097e-06,4.659047e-05,4.754163e-05,4.693680e-05,4.755174e-05,4.905092e-05,7.580610e-05,-1.151701e-06
4.200000e-12,-1.067098e-07,5.258744e-09,-4.886359e-06,4.238001e-05,4.476128e-05,4.394100e-05,4.407494e-05,4.488859e-05,6.332292e-05,-7.868573e-07
4.400000e-12,-1.091274e-07,-9.404963e-09,-4.994651e-06,4.090369e-05,4.485752e-05,4.391087e-05,4.356772e-05,4.370129e-05,5.142837e-05,-4.395714e-07
4.600000e-12,-1.121352e-07,-2.504138e-08,-5.098738e-06,4.209095e-05,4.769197e-05,4.673183e-05,4.592714e-05,4.539685e-05,4.108898e-05,-1.176837e-07
4.800000e-12,-1.139301e-07,-3.521384e-08,-5.199094e-06,4.585497e-05,5.306071e-05,5.222754e-05,5.099730e-05,4.983006e-05,3.276087e-05,1.754559e-07
5.000000e-12,-1.116308e-07,-3.563631e-08,-5.293207e-06,5.206036e-05,6.062028e-05,6.007675e-05,5.850043e-05,5.675733e-05,2.655749e-05,4.296122e-07
