time,"I(RX1)","I(RX2)","I(RIN)","I(LQ1|XI0)","I(LQ1|XI1)","I(LQ1|XI2)","I(LQ1|XI3)","I(LQ1|XI4)","I(LQ1|XI12)"
0.000000e+00,1.016829e-21,2.620957e-22,1.958705e-12,8.812052e-05,-7.151472e-05,7.351784e-05,-7.302931e-05,6.983173e-05,4.313349e-05
2.000000e-13,-5.092643e-08,-3.953923e-22,-9.854533e-07,8.802579e-05,-7.152923e-05,7.352731e-05,-7.306957e-05,7.084767e-05,4.750279e-05
4.000000e-13,-7.663907e-08,1.569131e-10,-1.987207e-06,8.787994e-05,-7.154977e-05,7.354026e-05,-7.312892e-05,7.222803e-05,5.459511e-05
6.000000e-13,-8.380095e-08,5.543312e-10,-2.983998e-06,8.765967e-05,-7.157809e-05,7.355364e-05,-7.320308e-05,7.377118e-05,6.421571e-05
8.000000e-13,-8.514101e-08,8.939357e-10,-3.980274e-06,8.735013e-05,-7.161395e-05,7.356275e-05,-7.328143e-05,7.520823e-05,7.543309e-05
1.000000e-12,-8.349224e-08,6.793161e-10,-4.976770e-06,8.695006e-05,-7.165429e-05,7.356225e-05,-7.334887e-05,7.629459e-05,8.669214e-05
1.200000e-12,-7.976466e-08,-1.459150e-10,-4.988543e-06,8.656650e-05,-7.168181e-05,7.354913e-05,-7.339006e-05,7.686074e-05,9.615195e-05
1.400000e-12,-7.577623e-08,-1.068957e-09,-4.985164e-06,8.617990e-05,-7.169905e-05,7.351967e-05,-7.339538e-05,7.683203e-05,1.021884e-04
1.600000e-12,-7.341020e-08,-1.532325e-09,-4.988091e-06,8.584493e-05,-7.170016e-05,7.347467e-05,-7.336323e-05,7.623133e-05,1.038412e-04
1.800000e-12,-7.360796e-08,-1.349525e-09,-4.992806e-06,8.560897e-05,-7.168199e-05,7.341791e-05,-7.329930e-05,7.517160e-05,1.010484e-04
2.000000e-12,-7.597644e-08,-6.880855e-10,-4.998268e-06,8.550087e-05,-7.164412e-05,7.335475e-05,-7.321333e-05,7.383693e-05,9.461992e-05
